date,net_flow_usd_m,abs_flow_usd_m,is_inflow,cumulative_flow_usd_m
2024-01-11,655.3,655.3,True,655.3
2024-01-12,203.0,203.0,True,858.3
2024-01-15,0.0,0.0,False,858.3
2024-01-16,-52.7,52.7,False,805.5999999999999
2024-01-17,453.8,453.8,True,1259.3999999999999
2024-01-18,-126.6,126.6,False,1132.8
2024-01-19,43.6,43.6,True,1176.3999999999999
2024-01-22,-87.4,87.4,False,1088.9999999999998
2024-01-23,-106.1,106.1,False,982.8999999999997
2024-01-24,-158.3,158.3,False,824.5999999999997
2024-01-25,-79.8,79.8,False,744.7999999999997
2024-01-26,14.8,14.8,True,759.5999999999997
2024-01-29,255.1,255.1,True,1014.6999999999997
2024-01-30,247.3,247.3,True,1261.9999999999998
2024-01-31,197.6,197.6,True,1459.5999999999997
2024-02-01,38.5,38.5,True,1498.0999999999997
2024-02-02,80.0,80.0,True,1578.0999999999997
2024-02-05,68.1,68.1,True,1646.1999999999996
2024-02-06,33.6,33.6,True,1679.7999999999995
2024-02-07,146.0,146.0,True,1825.7999999999995
2024-02-08,405.0,405.0,True,2230.7999999999993
2024-02-09,541.5,541.5,True,2772.2999999999993
2024-02-12,493.4,493.4,True,3265.6999999999994
2024-02-13,636.3,636.3,True,3901.999999999999
2024-02-14,339.7,339.7,True,4241.699999999999
2024-02-15,477.4,477.4,True,4719.0999999999985
2024-02-16,330.3,330.3,True,5049.399999999999
2024-02-19,0.0,0.0,False,5049.399999999999
2024-02-20,135.6,135.6,True,5184.999999999999
2024-02-21,-35.6,35.6,False,5149.399999999999
2024-02-22,251.4,251.4,True,5400.799999999998
2024-02-23,232.5,232.5,True,5633.299999999998
2024-02-26,519.9,519.9,True,6153.199999999998
2024-02-27,576.9,576.9,True,6730.099999999998
2024-02-28,673.4,673.4,True,7403.499999999997
2024-02-29,92.3,92.3,True,7495.799999999997
2024-03-01,-139.6,139.6,False,7356.199999999997
2024-03-04,562.7,562.7,True,7918.899999999997
2024-03-05,648.3,648.3,True,8567.199999999997
2024-03-06,332.0,332.0,True,8899.199999999997
2024-03-07,472.5,472.5,True,9371.699999999997
2024-03-08,223.0,223.0,True,9594.699999999997
2024-03-11,505.4,505.4,True,10100.099999999997
2024-03-12,1045.0,1045.0,True,11145.099999999997
2024-03-13,683.7,683.7,True,11828.799999999997
2024-03-14,132.7,132.7,True,11961.499999999998
2024-03-15,198.8,198.8,True,12160.299999999997
2024-03-18,-154.3,154.3,False,12005.999999999998
2024-03-19,-326.2,326.2,False,11679.799999999997
2024-03-20,-261.5,261.5,False,11418.299999999997
2024-03-21,-94.0,94.0,False,11324.299999999997
2024-03-22,-51.6,51.6,False,11272.699999999997
2024-03-25,15.4,15.4,True,11288.099999999997
2024-03-26,418.0,418.0,True,11706.099999999997
2024-03-27,243.5,243.5,True,11949.599999999997
2024-03-28,182.8,182.8,True,12132.399999999996
2024-03-29,0.0,0.0,False,12132.399999999996
2024-04-01,-85.7,85.7,False,12046.699999999995
2024-04-02,39.5,39.5,True,12086.199999999995
2024-04-03,113.5,113.5,True,12199.699999999995
2024-04-04,213.4,213.4,True,12413.099999999995
2024-04-05,203.0,203.0,True,12616.099999999995
2024-04-08,-223.8,223.8,False,12392.299999999996
2024-04-09,-19.4,19.4,False,12372.899999999996
2024-04-10,123.7,123.7,True,12496.599999999997
2024-04-11,91.3,91.3,True,12587.899999999996
2024-04-12,-55.1,55.1,False,12532.799999999996
2024-04-15,-36.7,36.7,False,12496.099999999995
2024-04-16,-58.0,58.0,False,12438.099999999995
2024-04-17,-165.0,165.0,False,12273.099999999995
2024-04-18,-4.3,4.3,False,12268.799999999996
2024-04-19,59.7,59.7,True,12328.499999999996
2024-04-22,62.2,62.2,True,12390.699999999997
2024-04-23,31.6,31.6,True,12422.299999999997
2024-04-24,-120.6,120.6,False,12301.699999999997
2024-04-25,-217.6,217.6,False,12084.099999999997
2024-04-26,-83.6,83.6,False,12000.499999999996
2024-04-29,-51.6,51.6,False,11948.899999999996
2024-04-30,-161.6,161.6,False,11787.299999999996
2024-05-01,-563.7,563.7,False,11223.599999999995
2024-05-02,-34.4,34.4,False,11189.199999999995
2024-05-03,378.3,378.3,True,11567.499999999995
2024-05-06,217.0,217.0,True,11784.499999999995
2024-05-07,-15.7,15.7,False,11768.799999999994
2024-05-08,11.5,11.5,True,11780.299999999994
2024-05-09,-11.3,11.3,False,11768.999999999995
2024-05-10,-84.7,84.7,False,11684.299999999994
2024-05-13,66.0,66.0,True,11750.299999999994
2024-05-14,100.5,100.5,True,11850.799999999994
2024-05-15,303.0,303.0,True,12153.799999999994
2024-05-16,257.3,257.3,True,12411.099999999993
2024-05-17,221.5,221.5,True,12632.599999999993
2024-05-20,237.2,237.2,True,12869.799999999994
2024-05-21,305.7,305.7,True,13175.499999999995
2024-05-22,154.0,154.0,True,13329.499999999995
2024-05-23,107.9,107.9,True,13437.399999999994
2024-05-24,251.9,251.9,True,13689.299999999994
2024-05-27,0.0,0.0,False,13689.299999999994
2024-05-28,45.0,45.0,True,13734.299999999994
2024-05-29,28.3,28.3,True,13762.599999999993
2024-05-30,48.8,48.8,True,13811.399999999992
2024-05-31,48.8,48.8,True,13860.199999999992
2024-06-03,105.1,105.1,True,13965.299999999992
2024-06-04,886.6,886.6,True,14851.899999999992
2024-06-05,488.1,488.1,True,15339.999999999993
2024-06-06,217.7,217.7,True,15557.699999999993
2024-06-07,131.0,131.0,True,15688.699999999993
2024-06-10,-64.9,64.9,False,15623.799999999994
2024-06-11,-200.4,200.4,False,15423.399999999994
2024-06-12,100.8,100.8,True,15524.199999999993
2024-06-13,-226.2,226.2,False,15297.999999999993
2024-06-14,-189.9,189.9,False,15108.099999999993
2024-06-17,-145.9,145.9,False,14962.199999999993
2024-06-18,-152.4,152.4,False,14809.799999999994
2024-06-19,0.0,0.0,False,14809.799999999994
2024-06-20,-139.9,139.9,False,14669.899999999994
2024-06-21,-105.9,105.9,False,14563.999999999995
2024-06-24,-174.5,174.5,False,14389.499999999995
2024-06-25,31.0,31.0,True,14420.499999999995
2024-06-26,21.4,21.4,True,14441.899999999994
2024-06-27,11.8,11.8,True,14453.699999999993
2024-06-28,73.0,73.0,True,14526.699999999993
2024-07-01,129.5,129.5,True,14656.199999999993
2024-07-02,-13.7,13.7,False,14642.499999999993
2024-07-03,-20.5,20.5,False,14621.999999999993
2024-07-04,0.0,0.0,False,14621.999999999993
2024-07-05,143.1,143.1,True,14765.099999999993
2024-07-08,294.8,294.8,True,15059.899999999992
2024-07-09,216.4,216.4,True,15276.299999999992
2024-07-10,147.4,147.4,True,15423.699999999992
2024-07-11,78.9,78.9,True,15502.599999999991
2024-07-12,310.1,310.1,True,15812.699999999992
2024-07-15,300.9,300.9,True,16113.599999999991
2024-07-16,422.5,422.5,True,16536.09999999999
2024-07-17,53.3,53.3,True,16589.39999999999
2024-07-18,37.2,37.2,True,16626.59999999999
2024-07-19,427.2,427.2,True,17053.799999999992
2024-07-22,485.9,485.9,True,17539.699999999993
2024-07-23,-78.0,78.0,False,17461.699999999993
2024-07-24,44.5,44.5,True,17506.199999999993
2024-07-25,31.1,31.1,True,17537.299999999992
2024-07-26,51.8,51.8,True,17589.09999999999
2024-07-29,124.1,124.1,True,17713.19999999999
2024-07-30,-18.3,18.3,False,17694.89999999999
2024-07-31,0.3,0.3,True,17695.19999999999
2024-08-01,50.6,50.6,True,17745.79999999999
2024-08-02,-237.4,237.4,False,17508.399999999987
2024-08-05,-168.4,168.4,False,17339.999999999985
2024-08-06,-148.6,148.6,False,17191.399999999987
2024-08-07,45.1,45.1,True,17236.499999999985
2024-08-08,194.6,194.6,True,17431.099999999984
2024-08-09,-89.7,89.7,False,17341.399999999983
2024-08-12,27.8,27.8,True,17369.199999999983
2024-08-13,39.0,39.0,True,17408.199999999983
2024-08-14,-81.4,81.4,False,17326.79999999998
2024-08-15,11.1,11.1,True,17337.89999999998
2024-08-16,35.9,35.9,True,17373.79999999998
2024-08-19,62.1,62.1,True,17435.89999999998
2024-08-20,88.0,88.0,True,17523.89999999998
2024-08-21,39.5,39.5,True,17563.39999999998
2024-08-22,64.8,64.8,True,17628.19999999998
2024-08-23,252.0,252.0,True,17880.19999999998
2024-08-26,202.6,202.6,True,18082.799999999977
2024-08-27,-127.1,127.1,False,17955.69999999998
