,coef,std_err,t,p,ci_low,ci_high
const,0.18419446813192228,0.10614344560601303,1.7353353010191677,0.0826814325436975,-0.023842862450849517,0.39223179871469405
flow_z,0.0031231414555593267,0.006475195805217175,0.48232386317074133,0.6295758978762503,-0.009568009115511169,0.015814292026629824
log_rv,-0.040842870056090726,0.012976520846907662,-3.1474437977590646,0.0016470476571283591,-0.06627638356066294,-0.015409356551518507
m_2024-02,-0.05079800057269187,0.05477399900348409,-0.9274108426784885,0.3537132631962433,-0.1581530659087535,0.05655706476336977
m_2024-03,-0.01794479459877818,0.05562602591465457,-0.32259709917638857,0.7470003908942754,-0.12696980199459285,0.0910802127970365
m_2024-04,-0.06126832828906899,0.05701307379325881,-1.0746364686675307,0.2825375176779653,-0.17301189957178065,0.050475242993642686
m_2024-05,-0.05575213318312137,0.05404026765161236,-1.0316775916534147,0.3022231782262921,-0.1616691114951865,0.05016484512894378
m_2024-06,-0.04026344604750374,0.05537864422120625,-0.7270572729565954,0.46719087151071026,-0.1488035942337252,0.0682767021387177
m_2024-07,-0.07548415463579927,0.05378644382070039,-1.403404822364334,0.16049615579481757,-0.18090364738085898,0.02993533810926044
m_2024-08,-0.018054750445828213,0.05406838140496397,-0.3339243745915172,0.7384366262149159,-0.12402683070193277,0.08791732981027633
m_2024-09,-0.02055953409271414,0.05795045981414681,-0.3547777560117852,0.7227560939137379,-0.1341403482159776,0.09302128003054932
m_2024-10,0.019974602087761063,0.051519961708574084,0.3877060740213407,0.6982335603065992,-0.08100266734592682,0.12095187152144893
m_2024-11,-0.008992276106891331,0.05601727923587845,-0.16052682724961545,0.8724660905552813,-0.1187841259211365,0.10079957370735383
m_2024-12,-0.023873421374904263,0.05835403595638082,-0.4091134569123797,0.6824564011615932,-0.138245230201966,0.09049838745215746
m_2025-01,0.04134796064264258,0.05382396412189884,0.7682072719318668,0.44236405391518596,-0.06414507054145518,0.14684099182674035
m_2025-02,-0.009973170179385251,0.056274830600750496,-0.17722257131507468,0.8593335669321153,-0.12026981139294875,0.10032347103417825
m_2025-03,0.007186689607236204,0.051461398465882144,0.13965204641690473,0.8889349164163528,-0.09367579797995759,0.10804917719443
m_2025-04,0.028242849192242396,0.05882458254966451,0.4801198405173123,0.6311421810792404,-0.0870512140107034,0.14353691239518818
m_2025-05,-0.060002285850973815,0.05262927412396385,-1.140093357731734,0.25424740890973385,-0.16315376766642875,0.04314919596448113
m_2025-06,-0.05928163887413574,0.056835804813815005,-1.0430333320401268,0.29693285547199766,-0.17067776934156137,0.052114491593289895
m_2025-07,-0.08780717639614768,0.05494879137756899,-1.5979819427291724,0.1100469958368182,-0.19550482849018797,0.019890475697892596
m_2025-08,-0.06147932128226658,0.05271598397670974,-1.1662368155629712,0.24351871141086456,-0.16480075128620825,0.04184210872167509
m_2025-09,-0.10230982736082847,0.05669302404533547,-1.8046281545859117,0.0711328892848619,-0.21342611266434927,0.00880645794269233
m_2025-10,-0.027714315463986134,0.05453565604422524,-0.5081870738203175,0.6113221550797088,-0.13460223718393172,0.07917360625595946
m_2025-11,-0.052837136337788936,0.052544921333427974,-1.0055612416375446,0.31462667601531213,-0.15582328972179812,0.05014901704622025
m_2025-12,0.0903648450242084,0.059362277697301076,1.5222604072740433,0.12794384444105916,-0.025983081302766997,0.2067127713511838
